"Statistic Label","Year","Sex","Type of Procedure","Area","UNIT","VALUE"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Mayo","Rate","4.8"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Offaly","Rate","3.39"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Roscommon","Rate","7.38"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Sligo","Rate","6.62"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Tipperary","Rate","5.46"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Waterford","Rate","4.33"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Wicklow","Rate","12.32"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Westmeath","Rate","4.37"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Wexford","Rate","3.81"
"Average Length of Stay","2020","Both sexes","Discectomy","Non-residents","Rate",""
"Average Length of Stay","2020","Both sexes","Discectomy","Ireland plus non-residents","Rate","5.73"
"Average Length of Stay","2020","Both sexes","Discectomy","Ireland","Rate","5.73"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Clare","Rate","0"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Cork","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Cavan","Rate","0"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Carlow","Rate","0"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Donegal","Rate","0"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Dublin","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Galway","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Kildare","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Kilkenny","Rate","0"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Kerry","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Longford","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Louth","Rate","0"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Limerick","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Leitrim","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Laois","Rate","0"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Meath","Rate","0"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Monaghan","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Mayo","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Offaly","Rate","0"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Roscommon","Rate","0"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Sligo","Rate","1.2"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Tipperary","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Waterford","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Wicklow","Rate","0"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Westmeath","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Co. Wexford","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Non-residents","Rate",""
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Ireland plus non-residents","Rate","1.24"
"Average Length of Stay","2020","Both sexes","Carpal tunnel decompression","Ireland","Rate","1.24"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Clare","Rate","3.88"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Cork","Rate","2.77"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Cavan","Rate","3.22"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Carlow","Rate","1.25"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Donegal","Rate","5.03"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Dublin","Rate","6.22"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Galway","Rate","3.27"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Kildare","Rate","8.15"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Kilkenny","Rate","4.33"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Kerry","Rate","3.51"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Longford","Rate","4.86"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Louth","Rate","4.26"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Limerick","Rate","3.53"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Leitrim","Rate",""
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Laois","Rate","3.73"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Meath","Rate","3.76"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Monaghan","Rate","4"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Mayo","Rate","7.74"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Offaly","Rate","2.29"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Roscommon","Rate","2.63"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Sligo","Rate",""
