"Statistic Label","Year","Sex","Type of Procedure","Area","UNIT","VALUE"
"Median Length of Stay","2020","Female","Male circumcision","Co. Laois","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Co. Meath","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Co. Monaghan","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Co. Mayo","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Co. Offaly","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Co. Roscommon","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Co. Sligo","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Co. Tipperary","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Co. Waterford","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Co. Wicklow","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Co. Westmeath","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Co. Wexford","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Non-residents","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Ireland plus non-residents","Number",""
"Median Length of Stay","2020","Female","Male circumcision","Ireland","Number",""
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Clare","Number","1"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Cork","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Cavan","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Carlow","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Donegal","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Dublin","Number","1"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Galway","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Kildare","Number","1"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Kilkenny","Number","1"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Kerry","Number","1"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Longford","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Louth","Number","1"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Limerick","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Leitrim","Number","1"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Laois","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Meath","Number","1"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Monaghan","Number","1"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Mayo","Number","1"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Offaly","Number","1.5"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Roscommon","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Sligo","Number","1"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Tipperary","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Waterford","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Wicklow","Number","1"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Westmeath","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Co. Wexford","Number","3"
"Median Length of Stay","2020","Female","Gynaecological procedures","Non-residents","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Ireland plus non-residents","Number","2"
"Median Length of Stay","2020","Female","Gynaecological procedures","Ireland","Number","2"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Clare","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Cork","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Cavan","Number","0.5"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Carlow","Number","2.5"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Donegal","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Dublin","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Galway","Number","0.5"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Kildare","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Kilkenny","Number","2"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Kerry","Number","0.5"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Longford","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Louth","Number","0.8"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Limerick","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Leitrim","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Laois","Number","0.5"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Meath","Number","0.5"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Monaghan","Number","0.5"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Mayo","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Offaly","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Roscommon","Number","0.5"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Sligo","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Tipperary","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Waterford","Number","0.8"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Wicklow","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Westmeath","Number","0.5"
"Median Length of Stay","2020","Female","Dilation & curettage","Co. Wexford","Number","2"
"Median Length of Stay","2020","Female","Dilation & curettage","Non-residents","Number","0"
"Median Length of Stay","2020","Female","Dilation & curettage","Ireland plus non-residents","Number","1"
"Median Length of Stay","2020","Female","Dilation & curettage","Ireland","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Clare","Number",""
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Cork","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Cavan","Number","2.5"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Carlow","Number","3"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Donegal","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Dublin","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Galway","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Kildare","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Kilkenny","Number",""
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Kerry","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Longford","Number",""
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Louth","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Limerick","Number",""
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Leitrim","Number","0.5"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Laois","Number",""
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Meath","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Monaghan","Number","2.5"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Mayo","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Offaly","Number",""
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Roscommon","Number","3"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Sligo","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Tipperary","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Waterford","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Wicklow","Number",""
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Westmeath","Number",""
"Median Length of Stay","2020","Female","Hysteroscopy","Co. Wexford","Number","3"
"Median Length of Stay","2020","Female","Hysteroscopy","Non-residents","Number","0"
"Median Length of Stay","2020","Female","Hysteroscopy","Ireland plus non-residents","Number","1"
"Median Length of Stay","2020","Female","Hysteroscopy","Ireland","Number","1"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Clare","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Cork","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Cavan","Number","3.5"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Carlow","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Donegal","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Dublin","Number","3"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Galway","Number","5.5"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Kildare","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Kilkenny","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Kerry","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Longford","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Louth","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Limerick","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Leitrim","Number","4.5"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Laois","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Meath","Number","3"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Monaghan","Number","3.5"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Mayo","Number","5"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Offaly","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Roscommon","Number","5"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Sligo","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Tipperary","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Waterford","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Wicklow","Number","3"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Westmeath","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Co. Wexford","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Non-residents","Number",""
"Median Length of Stay","2020","Female","Hysterectomy","Ireland plus non-residents","Number","4"
"Median Length of Stay","2020","Female","Hysterectomy","Ireland","Number","4"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Clare","Number",""
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Cork","Number","2"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Cavan","Number","2"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Carlow","Number","3"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Donegal","Number","4"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Dublin","Number","3"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Galway","Number","4"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Kildare","Number","3"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Kilkenny","Number","3"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Kerry","Number","2.5"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Longford","Number",""
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Louth","Number","3"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Limerick","Number","2"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Leitrim","Number",""
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Laois","Number","4.5"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Meath","Number","2"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Monaghan","Number","3"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Mayo","Number",""
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Offaly","Number","4"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Roscommon","Number","3"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Sligo","Number",""
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Tipperary","Number","3"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Waterford","Number","3"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Wicklow","Number","2.5"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Westmeath","Number","3"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Co. Wexford","Number","3"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Non-residents","Number",""
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Ireland plus non-residents","Number","3"
"Median Length of Stay","2020","Female","Laparoscopic hysterectomy","Ireland","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Clare","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Cork","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Cavan","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Carlow","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Donegal","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Dublin","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Galway","Number","2"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Kildare","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Kilkenny","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Kerry","Number","4"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Longford","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Louth","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Limerick","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Leitrim","Number","2"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Laois","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Meath","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Monaghan","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Mayo","Number","2"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Offaly","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Roscommon","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Sligo","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Tipperary","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Waterford","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Wicklow","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Westmeath","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Co. Wexford","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Non-residents","Number","4"
"Median Length of Stay","2020","Female","Obstetric procedures","Ireland plus non-residents","Number","3"
"Median Length of Stay","2020","Female","Obstetric procedures","Ireland","Number","3"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Clare","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Cork","Number","3"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Cavan","Number","2"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Carlow","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Donegal","Number","3"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Dublin","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Galway","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Kildare","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Kilkenny","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Kerry","Number","4"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Longford","Number","2"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Louth","Number","2"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Limerick","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Leitrim","Number","2"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Laois","Number","2"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Meath","Number","2"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Monaghan","Number","2"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Mayo","Number","3"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Offaly","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Roscommon","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Sligo","Number",""
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Tipperary","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Waterford","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Wicklow","Number",""
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Westmeath","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Co. Wexford","Number","1"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Non-residents","Number",""
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Ireland plus non-residents","Number","2"
"Median Length of Stay","2020","Female","Medical or surgical induction & augmentation of labour","Ireland","Number","2"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Clare","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Cork","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Cavan","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Carlow","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Donegal","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Dublin","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Galway","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Kildare","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Kilkenny","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Kerry","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Longford","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Louth","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Limerick","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Leitrim","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Laois","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Meath","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Monaghan","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Mayo","Number","2"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Offaly","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Roscommon","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Sligo","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Tipperary","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Waterford","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Wicklow","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Westmeath","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Co. Wexford","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Non-residents","Number",""
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Ireland plus non-residents","Number","3"
"Median Length of Stay","2020","Female","Vacuum or forceps extraction","Ireland","Number","3"
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Clare","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Cork","Number","3"
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Cavan","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Carlow","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Donegal","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Dublin","Number","3"
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Galway","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Kildare","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Kilkenny","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Kerry","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Longford","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Louth","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Limerick","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Leitrim","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Laois","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Meath","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Monaghan","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Mayo","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Offaly","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Roscommon","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Sligo","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Tipperary","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Waterford","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Wicklow","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Westmeath","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Co. Wexford","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Non-residents","Number",""
"Median Length of Stay","2020","Female","Breech delivery & extraction","Ireland plus non-residents","Number","3"
"Median Length of Stay","2020","Female","Breech delivery & extraction","Ireland","Number","3"
"Median Length of Stay","2020","Female","Casearean section","Co. Clare","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Cork","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Cavan","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Carlow","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Donegal","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Dublin","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Galway","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Kildare","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Kilkenny","Number","3"
"Median Length of Stay","2020","Female","Casearean section","Co. Kerry","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Longford","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Louth","Number","3"
"Median Length of Stay","2020","Female","Casearean section","Co. Limerick","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Leitrim","Number","3"
"Median Length of Stay","2020","Female","Casearean section","Co. Laois","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Meath","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Monaghan","Number","3"
"Median Length of Stay","2020","Female","Casearean section","Co. Mayo","Number","3"
"Median Length of Stay","2020","Female","Casearean section","Co. Offaly","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Roscommon","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Sligo","Number","3"
"Median Length of Stay","2020","Female","Casearean section","Co. Tipperary","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Waterford","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Wicklow","Number","3"
"Median Length of Stay","2020","Female","Casearean section","Co. Westmeath","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Co. Wexford","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Non-residents","Number","5"
"Median Length of Stay","2020","Female","Casearean section","Ireland plus non-residents","Number","4"
"Median Length of Stay","2020","Female","Casearean section","Ireland","Number","4"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Clare","Number","5"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Cork","Number","4"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Cavan","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Carlow","Number","2"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Donegal","Number","4"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Dublin","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Galway","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Kildare","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Kilkenny","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Kerry","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Longford","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Louth","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Limerick","Number","4"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Leitrim","Number","4"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Laois","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Meath","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Monaghan","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Mayo","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Offaly","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Roscommon","Number","4"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Sligo","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Tipperary","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Waterford","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Wicklow","Number","2"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Westmeath","Number","2"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Co. Wexford","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Non-residents","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Ireland plus non-residents","Number","3"
"Median Length of Stay","2020","Female","Procedures on musculoskeletal system","Ireland","Number","3"
"Median Length of Stay","2020","Female","Reduction of nasal fracture","Co. Clare","Number",""
"Median Length of Stay","2020","Female","Reduction of nasal fracture","Co. Cork","Number","0"
"Median Length of Stay","2020","Female","Reduction of nasal fracture","Co. Cavan","Number","0"
"Median Length of Stay","2020","Female","Reduction of nasal fracture","Co. Carlow","Number",""
"Median Length of Stay","2020","Female","Reduction of nasal fracture","Co. Donegal","Number",""
"Median Length of Stay","2020","Female","Reduction of nasal fracture","Co. Dublin","Number","1"
"Median Length of Stay","2020","Female","Reduction of nasal fracture","Co. Galway","Number",""
"Median Length of Stay","2020","Female","Reduction of nasal fracture","Co. Kildare","Number","0"
